window,label,coherent_gain,enbw_bins,peak_sidelobe_db,peak_suppression_db,main_lobe_width_bins,scalloping_loss_db,max_6_12_db,max_12_24_db,max_24_48_db
blackman-harris,Blackman-Harris,0.3559694573643411,2.0200066670005885,-92.0425975778828,92.0425975778828,8.0782470703125,0.8127833430614497,-92.90661411572215,-103.930743100984,-116.87512346438042
nuttall-min4-bh,Nuttall min-4-term BH,0.36076624806201557,1.9915165961465244,-96.8264355230464,96.8264355230464,8.1412353515625,0.8374369889317639,-96.82922338452104,-97.26148398835329,-98.35698191095788
nuttall-continuous,Nuttall continuous,0.35301010852713177,2.0370234578176727,-93.3235647054863,93.3235647054863,8.0625,0.7991701516468558,-93.32728109775229,-101.29977527089311,-117.34646404527119
