name,label,overlap_label,hop,overlap_fraction,closest_constant_scale,canonical_relative_constant_rmse,closest_constant_relative_constant_rmse,canonical_rms_noise_gain,closest_constant_rms_noise_gain,canonical_worst_noise_gain,closest_constant_worst_noise_gain,canonical_energy_ratio,closest_constant_energy_ratio,canonical_exact_rmse,canonical_exact_max_abs_error,closest_constant_exact_rmse,closest_constant_exact_max_abs_error
hann,Hann,50% overlap,64,0.5,1.0087887341930053,0.6495782822520606,0.0030969686084616295,1.1964062813530656,1.4266495510666952,1.431469564552444,1.4319150384655999,1.9235450155151401,2.735140204929415,4.9175258238257687e-17,2.220446049250313e-16,4.999891767632484e-17,2.220446049250313e-16
hann,Hann,75% overlap,32,0.75,0.5039366021650874,0.7154092059858832,0.0006348594212341055,0.8197048583651744,1.0078734074400304,0.8198616419513328,1.0084618365269902,0.4514711549496915,0.6825381999704543,5.9701090376335e-17,2.220446049250313e-16,5.059555822616634e-17,2.220446049250313e-16
blackman-harris,Blackman-Harris,50% overlap,64,0.5,1.6464145175338731,0.8815978533028581,0.2363940858157916,1.9055497660818979,2.392554898015023,3.3296326084404533,3.331831364171308,7.093471486840242,11.182581180920831,4.9883897998558666e-17,3.3306690738754696e-16,5.981730457880512e-17,3.3306690738754696e-16
blackman-harris,Blackman-Harris,75% overlap,32,0.75,0.7023508758090976,1.0079329778709083,1.4252011423191252e-05,0.9893421678593498,1.4047017517608567,1.0216362275340403,1.4047153295192516,0.9560514859405709,1.9273318076210169,5.861732101756465e-17,2.220446049250313e-16,5.389358862872217e-17,2.220446049250313e-16
flattop,Flat-top,50% overlap,64,0.5,-1.5659213414520017,6.897360895405946,3.0476549210587325,6.9099200957686815,7.103209942895472,14.178002799012031,14.275809635397422,137.321916600626,145.11192633375026,5.019136812306879e-17,2.220446049250313e-16,1.0082718979434022e-16,4.440892098500626e-16
flattop,Flat-top,75% overlap,32,0.75,1.1780652140177073,1.5676368017457536,0.013370894630156536,1.2679069122405975,2.3563410340915123,1.6093292292362782,2.386368764403643,2.3117376642263823,7.984359855482247,6.405035481424158e-17,3.3306690738754696e-16,5.751234622032757e-17,2.220446049250313e-16
