task_key,task_title,window,eligible,rank,score,suitability,enbw_bins,peak_sidelobe_db,main_lobe_width_bins,scalloping_loss_db,synthesis_gain_span_db,far_tail_max_db,far_tail_suppression_db
close_tones,Separate very close equal-strength tones,rectangular,True,1,0.1,0.9,1.0,-13.2670925532188,2.015625,3.922182893250383,0.0,-37.205406758755515,37.205406758755515
close_tones,Separate very close equal-strength tones,hamming,True,2,0.844795,0.155205,1.3704714490961944,-42.62424236261918,4.09423828125,1.7338698333027787,0.0017486899731499622,-53.79828779315176,53.79828779315176
close_tones,Separate very close equal-strength tones,hann,True,3,0.916764,0.083236,1.51171875,-31.475497828114108,4.03125,1.4012715444114454,0.006333738171461491,-93.35747611727018,93.35747611727018
close_tones,Separate very close equal-strength tones,nuttall-min4-bh,False,4,10.0,0.0,1.9915165961465244,-96.8264355230464,8.12548828125,0.8374369889317639,1.0228873739421285,-98.3479353632046,98.3479353632046
close_tones,Separate very close equal-strength tones,nuttall-continuous,False,5,10.0,0.0,2.0370234578176727,-93.32878288681215,8.0625,0.7991701516468558,1.1863604454263732,-117.32851665503817,117.32851665503817
close_tones,Separate very close equal-strength tones,blackman-harris,False,6,10.0,0.0,2.0200066670005885,-92.04956667905991,8.0625,0.8127833430614497,1.1163282607841256,-116.87938900432201,116.87938900432201
close_tones,Separate very close equal-strength tones,flattop,False,7,10.0,0.0,3.7998174877405715,-91.33495279728977,10.2041015625,0.009125678278112163,8.308542040713618,-92.70377023303949,92.70377023303949
close_tones,Separate very close equal-strength tones,kaiser-8.6,False,8,10.0,0.0,1.7347449537420028,-62.991016472979105,5.85791015625,1.0921696844370425,0.19594520317493677,-89.94546606881384,89.94546606881384
close_tones,Separate very close equal-strength tones,blackman,False,9,10.0,0.0,1.740247661564626,-58.12294866970683,6.046875,1.0817746311954988,0.2005073831653953,-100.79583944297869,100.79583944297869
compact_compromise,Compact low-sidelobe compromise,kaiser-8.6,True,1,0.380665,0.619335,1.7347449537420028,-62.991016472979105,5.85791015625,1.0921696844370425,0.19594520317493677,-89.94546606881384,89.94546606881384
compact_compromise,Compact low-sidelobe compromise,hamming,True,2,0.447061,0.552939,1.3704714490961944,-42.62424236261918,4.09423828125,1.7338698333027787,0.0017486899731499622,-53.79828779315176,53.79828779315176
compact_compromise,Compact low-sidelobe compromise,blackman,True,3,0.46951,0.53049,1.740247661564626,-58.12294866970683,6.046875,1.0817746311954988,0.2005073831653953,-100.79583944297869,100.79583944297869
compact_compromise,Compact low-sidelobe compromise,hann,True,4,0.599889,0.400111,1.51171875,-31.475497828114108,4.03125,1.4012715444114454,0.006333738171461491,-93.35747611727018,93.35747611727018
compact_compromise,Compact low-sidelobe compromise,nuttall-min4-bh,False,5,10.0,0.0,1.9915165961465244,-96.8264355230464,8.12548828125,0.8374369889317639,1.0228873739421285,-98.3479353632046,98.3479353632046
compact_compromise,Compact low-sidelobe compromise,nuttall-continuous,False,6,10.0,0.0,2.0370234578176727,-93.32878288681215,8.0625,0.7991701516468558,1.1863604454263732,-117.32851665503817,117.32851665503817
compact_compromise,Compact low-sidelobe compromise,blackman-harris,False,7,10.0,0.0,2.0200066670005885,-92.04956667905991,8.0625,0.8127833430614497,1.1163282607841256,-116.87938900432201,116.87938900432201
compact_compromise,Compact low-sidelobe compromise,flattop,False,8,10.0,0.0,3.7998174877405715,-91.33495279728977,10.2041015625,0.009125678278112163,8.308542040713618,-92.70377023303949,92.70377023303949
compact_compromise,Compact low-sidelobe compromise,rectangular,False,9,10.0,0.0,1.0,-13.2670925532188,2.015625,3.922182893250383,0.0,-37.205406758755515,37.205406758755515
