name,coherent_gain,enbw_bins,peak_sidelobe_db,main_lobe_width_bins,scalloping_loss_db
blackman,0.4167441860465116,1.740247661564626,-58.12294866970683,6.046875,-1.0817746311954988
kaiser-8.6,0.4175474464557901,1.7347449537420028,-62.991016472979105,5.85791015625,-1.0921696844370425
blackman-harris,0.3559694573643411,2.0200066670005885,-92.04956667905991,8.0625,-0.8127833430614497
nuttall,0.36076624806201557,1.9915165961465244,-96.8264355230464,8.12548828125,-0.8374369889317639
flattop,0.21390453138759688,3.7998174877405715,-91.33495279728977,10.2041015625,-0.009125678278112163
