name,coherent_gain,enbw_bins,peak_sidelobe_db,main_lobe_width,scalloping_loss_db
rectangular,1.0,1.0,-13.2670925532188,0.015625,-3.922182893250383
hann,0.49612403100775193,1.51171875,-31.475497828114108,0.03125,-1.4012715444114454
hamming,0.5364341085271318,1.3704714490961944,-42.62424236261918,0.03173828125,-1.7338698333027787
blackman,0.4167441860465116,1.740247661564626,-58.12294866970683,0.046875,-1.0817746311954988
kaiser-8.6,0.4175474464557901,1.7347449537420028,-62.991016472979105,0.04541015625,-1.0921696844370425
flattop,0.21390453138759688,3.7998174877405715,-91.33495279728977,0.0791015625,-0.009125678278112163
blackman-harris,0.3559694573643411,2.0200066670005885,-92.04956667905991,0.0625,-0.8127833430614497
nuttall,0.36076624806201557,1.9915165961465244,-96.8264355230464,0.06298828125,-0.8374369889317639
