window,fft_size,reference_fft,enbw_bins,scalloping_loss_db,peak_sidelobe_db,reference_peak_sidelobe_db,peak_sidelobe_error_db,peak_sidelobe_peak_bin,reference_peak_sidelobe_peak_bin,peak_location_error_bins,first_null_bin,reference_first_null_bin,first_null_error_bins,main_lobe_width_bins,reference_main_lobe_width_bins,main_lobe_width_error_bins
kaiser-8.6,256,16384,1.7347449537420028,1.0921696844370425,-71.18159371212269,-62.985262703682395,8.196331008440296,4.53515625,3.11004638671875,1.42510986328125,4.03125,2.93682861328125,1.09442138671875,8.0625,5.8736572265625,2.1888427734375
kaiser-8.6,512,16384,1.7347449537420028,1.0921696844370425,-67.9167077605534,-62.985262703682395,4.931445056870999,3.779296875,3.11004638671875,0.66925048828125,3.52734375,2.93682861328125,0.59051513671875,7.0546875,5.8736572265625,1.1810302734375
kaiser-8.6,1024,16384,1.7347449537420028,1.0921696844370425,-63.23621311457414,-62.985262703682395,0.25095041089174686,3.1494140625,3.11004638671875,0.03936767578125,2.8974609375,2.93682861328125,0.03936767578125,5.794921875,5.8736572265625,0.0787353515625
kaiser-8.6,2048,16384,1.7347449537420028,1.0921696844370425,-63.11949729193805,-62.985262703682395,0.1342345882556586,3.08642578125,3.11004638671875,0.02362060546875,2.96044921875,2.93682861328125,0.02362060546875,5.9208984375,5.8736572265625,0.0472412109375
kaiser-8.6,4096,16384,1.7347449537420028,1.0921696844370425,-62.991016472979105,-62.985262703682395,0.005753769296710232,3.117919921875,3.11004638671875,0.00787353515625,2.928955078125,2.93682861328125,0.00787353515625,5.85791015625,5.8736572265625,0.0157470703125
blackman-harris,256,16384,2.0200066670005885,0.8127833430614497,-92.04956667905991,-92.0425975778828,0.0069691011771055855,4.53515625,4.54302978515625,0.00787353515625,4.03125,4.03912353515625,0.00787353515625,8.0625,8.0782470703125,0.0157470703125
blackman-harris,512,16384,2.0200066670005885,0.8127833430614497,-92.04956667905991,-92.0425975778828,0.0069691011771055855,4.53515625,4.54302978515625,0.00787353515625,4.03125,4.03912353515625,0.00787353515625,8.0625,8.0782470703125,0.0157470703125
blackman-harris,1024,16384,2.0200066670005885,0.8127833430614497,-92.04956667905991,-92.0425975778828,0.0069691011771055855,4.53515625,4.54302978515625,0.00787353515625,4.03125,4.03912353515625,0.00787353515625,8.0625,8.0782470703125,0.0157470703125
blackman-harris,2048,16384,2.0200066670005885,0.8127833430614497,-92.04956667905991,-92.0425975778828,0.0069691011771055855,4.53515625,4.54302978515625,0.00787353515625,4.03125,4.03912353515625,0.00787353515625,8.0625,8.0782470703125,0.0157470703125
blackman-harris,4096,16384,2.0200066670005885,0.8127833430614497,-92.04956667905991,-92.0425975778828,0.0069691011771055855,4.53515625,4.54302978515625,0.00787353515625,4.03125,4.03912353515625,0.00787353515625,8.0625,8.0782470703125,0.0157470703125
nuttall,256,16384,1.9915165961465244,0.8374369889317639,-97.90706888228213,-96.8264355230464,1.0806333592357333,6.55078125,6.708251953125,0.157470703125,4.03125,4.07061767578125,0.03936767578125,8.0625,8.1412353515625,0.0787353515625
nuttall,512,16384,1.9915165961465244,0.8374369889317639,-97.18044033584265,-96.8264355230464,0.35400481279624785,6.802734375,6.708251953125,0.094482421875,4.283203125,4.07061767578125,0.21258544921875,8.56640625,8.1412353515625,0.4251708984375
nuttall,1024,16384,1.9915165961465244,0.8374369889317639,-96.86685891616628,-96.8264355230464,0.0404233931198803,6.6767578125,6.708251953125,0.031494140625,4.283203125,4.07061767578125,0.21258544921875,8.56640625,8.1412353515625,0.4251708984375
nuttall,2048,16384,1.9915165961465244,0.8374369889317639,-96.86586080550265,-96.8264355230464,0.03942528245624999,6.73974609375,6.708251953125,0.031494140625,4.09423828125,4.07061767578125,0.02362060546875,8.1884765625,8.1412353515625,0.0472412109375
nuttall,4096,16384,1.9915165961465244,0.8374369889317639,-96.8264355230464,-96.8264355230464,0.0,6.708251953125,6.708251953125,0.0,4.062744140625,4.07061767578125,0.00787353515625,8.12548828125,8.1412353515625,0.0157470703125
